EMB_1,EMB_2,EMB_3,EMB_4,EMB_5,EMB_6,EMB_7,EMB_8,EMB_9,EMB_10,EMB_11,EMB_12,EMB_13,EMB_14,EMB_15,EMB_16,EMB_17,EMB_18,EMB_19,EMB_20,EMB_21,EMB_22,EMB_23,EMB_24,EMB_25,EMB_26,EMB_27,EMB_28,EMB_29,EMB_30,EMB_31,EMB_32,EMB_33,EMB_34,EMB_35,EMB_36,EMB_37,EMB_38,EMB_39,EMB_40,EMB_41,EMB_42,EMB_43,EMB_44,EMB_45,EMB_46,EMB_47,EMB_48,EMB_49,EMB_50,EMB_51,EMB_52,EMB_53,EMB_54,EMB_55,EMB_56,EMB_57,EMB_58,EMB_59,EMB_60,EMB_61,EMB_62,EMB_63,EMB_64,EMB_65,EMB_66,EMB_67,EMB_68,EMB_69,EMB_70,EMB_71,EMB_72,EMB_73,EMB_74,EMB_75,EMB_76,EMB_77,EMB_78,EMB_79,EMB_80,EMB_81,EMB_82,EMB_83,EMB_84,EMB_85,EMB_86,EMB_87,EMB_88,EMB_89,EMB_90,EMB_91,EMB_92,EMB_93,EMB_94,EMB_95,EMB_96,EMB_97,EMB_98,EMB_99,EMB_100,EMB_101,EMB_102,EMB_103,EMB_104,EMB_105,EMB_106,EMB_107,EMB_108,EMB_109,EMB_110,EMB_111,EMB_112,EMB_113,EMB_114,EMB_115,EMB_116,EMB_117,EMB_118,EMB_119,EMB_120,EMB_121,EMB_122,EMB_123,EMB_124,EMB_125,EMB_126,EMB_127,EMB_128,FID,Image
0.048769,-0.208416,0.03876,-0.139319,-0.137857,-0.158792,0.000847,0.013277,-0.115643,-0.047282,0.077947,0.002361,0.033487,-0.06961,0.043654,0.09522,0.157148,-0.067286,-0.013807,0.07412,-0.112074,-0.009497,-0.081549,0.015126,0.280699,0.009665,0.143035,0.158923,0.010732,-0.127299,-0.047542,0.098107,0.044393,-0.10327,-0.119023,0.052121,-0.09094,-0.049687,-0.03771,-0.031264,-0.081741,-0.022655,-0.052253,0.071602,0.098486,-0.047431,-0.09009,0.078588,0.011226,0.01881,0.047033,-0.01028,0.021856,-0.030874,0.052642,-0.100377,-0.009003,0.110542,0.006577,0.015913,0.048987,-0.024624,-0.015823,0.138997,0.173775,0.040028,0.032644,-0.102299,0.015668,-0.019391,-0.168108,-0.062688,-0.049403,-0.115503,-0.022759,-0.126602,-0.068155,-0.019488,0.149418,0.073275,-0.057323,0.075985,-0.027389,0.012818,0.105741,-0.083153,-0.053716,-0.13762,-0.078543,0.00146,0.18923,-0.006778,-0.065611,-0.02705,0.021558,-0.01128,0.054235,-0.006821,-0.103237,-0.008649,0.099526,0.029615,0.151016,0.043786,-0.163777,0.105813,-0.046626,-0.016275,-0.044321,-0.070621,-0.122984,0.060088,0.21075,-0.08193,0.124712,-0.036061,0.04076,0.126268,0.087651,-0.005683,0.152911,0.0363,0.030697,0.038769,0.104262,-0.143968,0.013538,-0.021616,16,./image\16
-0.041355,-0.261856,0.103475,-0.18274,-0.019506,-0.062662,-0.005634,-0.027124,-0.119439,0.058501,-0.003619,-0.059523,-0.062599,-0.002849,0.051785,-0.008328,0.012438,-0.070138,0.061899,0.094017,-0.085841,0.00074,-0.046873,0.108604,0.082707,0.131303,0.072398,0.063081,0.034018,-0.15591,0.092719,0.078984,-0.032102,-0.051786,-0.011694,0.027147,-0.136401,-0.006645,0.142058,-0.052144,-0.012539,-0.067473,0.006975,-0.00302,0.002374,-0.06166,-0.021437,0.062905,-0.176784,0.014361,-0.071126,0.096168,0.082055,-0.003376,-0.026687,-0.083273,0.047278,0.095771,-0.029148,-0.037687,0.111173,-0.061314,-0.119814,0.185212,0.030544,0.032822,0.13952,-0.020801,0.087706,0.041939,-0.213435,-0.094166,0.000318,-0.100825,-0.135467,-0.017736,-0.0688,-0.15324,0.028167,-0.012528,-0.034053,-0.035846,-0.005019,0.076159,0.07607,-0.19335,0.10857,-0.017708,-0.039037,0.014186,0.00623,-0.120756,-0.134949,-0.001448,0.158502,-0.132502,0.013668,0.010262,0.000525,-0.059756,0.100395,0.040285,-0.005295,0.09102,-0.022667,0.130381,0.046392,-0.068848,0.034583,-0.18025,0.013408,0.059443,0.17324,-0.020221,0.056093,0.012846,-0.022284,0.124715,0.069634,0.029348,0.057841,0.14403,-0.042928,0.086063,0.163186,-0.198753,0.119016,0.052955,16,./image\16
0.05939,-0.182208,0.005188,-0.171219,-0.077181,-0.031301,0.037054,-0.018007,-0.026298,-0.078232,0.065938,0.010244,-0.015544,-0.180407,0.048657,0.057001,0.126536,-0.109575,0.011046,0.114127,-0.045963,0.021502,-0.154555,0.059135,0.126465,0.094671,0.088784,0.064707,0.02335,-0.080231,0.014132,0.108792,-0.026214,-0.150085,-0.029294,0.03921,-0.133931,0.00491,0.057668,0.066151,-0.081121,0.021518,-0.005549,-0.038378,0.022393,-0.018934,-0.06192,0.11212,-0.084263,0.035609,0.041683,0.037366,0.106171,-0.045644,0.046864,-0.105365,-0.004421,0.053543,0.020447,-0.013446,0.015239,-0.052168,-0.047493,0.183098,0.166779,0.093383,0.150398,-0.013155,0.059167,-0.046715,-0.125131,-0.129127,-0.016339,-0.147415,-0.049226,-0.020008,-0.106904,0.021559,-0.040029,0.008078,-0.077102,0.025662,-0.120088,0.002175,0.095906,-0.160921,-0.00752,-0.109162,-0.122237,0.04287,0.204364,-0.072411,-0.038757,-0.065949,0.000504,0.051405,0.06265,0.025459,-0.11133,0.011356,0.075787,-0.065046,0.151197,0.061124,-0.198162,0.05582,-0.020572,-0.010357,0.041319,-0.066629,-0.044083,0.020853,0.225307,-0.061829,0.107647,-0.03015,-0.100138,0.186682,0.167506,0.010727,0.112018,0.007178,0.026591,0.017971,0.14392,-0.185823,0.007233,-0.027063,16,./image\16
0.063005,-0.295653,0.012036,-0.077862,0.010455,-0.079321,0.034841,0.053758,-0.026348,-0.003344,0.006407,-0.077256,-0.044315,-0.09188,-0.008682,0.150589,0.109758,-0.004609,-0.065553,0.019422,-0.033106,0.001798,-0.023782,0.00435,0.24426,0.061742,0.114057,0.127132,-0.017871,-0.157988,-0.027263,0.069696,-0.017131,-0.113648,-0.068763,-0.007071,-0.099991,0.008591,-0.010565,-0.022541,-0.105092,-0.069846,0.061127,-0.00044,0.106684,-0.019205,-0.07469,0.090205,-0.026291,-0.040769,-0.000644,-0.017345,-0.02208,0.022127,0.075831,-0.10377,-0.011387,0.065199,0.049999,-0.015953,0.000642,0.044876,0.005819,0.182139,0.107126,0.077659,0.00837,0.017839,0.011237,-0.02636,-0.218671,-0.065471,-0.045907,-0.15352,-0.047849,-0.077671,-0.115683,0.008666,0.093752,0.032992,-0.08665,-0.029029,-0.061821,0.01741,0.022775,-0.174973,-0.022081,-0.120372,-0.04131,-0.014659,0.249605,-0.071425,-0.069074,-0.073728,-0.01086,-0.066795,0.070512,-0.039887,-0.050722,0.038914,0.095799,0.026481,0.06845,0.045609,-0.072165,0.086771,-0.060222,-0.130587,-0.068173,0.007833,-0.028274,0.054845,0.208751,-0.093688,0.102871,-0.048459,-0.069602,0.206448,0.060096,-0.077411,0.100833,0.083621,0.05954,0.148382,0.107875,-0.229724,0.059335,-0.026102,16,./image\16
0.128007,0.085319,-0.000629,-0.049071,-0.069404,-0.039011,-0.011029,-0.127442,-0.068998,0.067463,-0.034567,-0.02232,-0.047114,-0.148688,0.068759,-0.025527,0.050921,-0.097424,-0.050127,0.064362,0.003229,0.010876,-0.021154,0.073169,0.083373,0.037224,0.056944,0.139902,-0.029124,0.056897,0.069725,0.09917,0.040014,0.047541,0.108132,-0.10398,-0.071352,-0.181079,0.162567,0.002067,-0.074842,0.024964,-0.150625,-0.034573,-0.029063,-0.013078,0.010647,0.032512,-0.100364,-0.010107,0.112803,-0.039269,0.110843,-0.082405,0.057775,0.043736,0.118845,-0.085121,-0.058298,-0.129922,0.086118,-0.097776,-0.015863,0.097995,0.077051,0.014419,0.086644,-0.06337,0.095676,-0.035659,-0.011942,-0.127008,0.120334,-0.034339,-0.036137,0.051358,0.06984,0.046482,0.095345,-0.098978,0.033703,0.006937,0.013138,0.149882,0.204623,-0.158637,0.129767,-0.192168,-0.087113,0.149617,-0.049599,0.043216,-0.150501,0.069252,0.077575,-0.014092,0.094329,-0.010035,-0.185476,-0.116118,-0.052039,0.073542,-0.044174,0.014909,-0.040038,0.066818,-0.09253,0.061773,-0.034124,-0.087145,-0.089305,0.126153,0.022601,-0.04547,0.082162,0.195465,-0.07513,0.002824,0.108899,0.003445,0.128353,-0.095703,0.003222,0.052453,0.160273,-0.225919,-0.050013,-0.047464,17,./image\17
0.106357,0.03494,-0.021443,-0.15144,-0.061543,-0.131006,-0.010826,-0.078513,-0.075667,0.042176,0.049948,-0.029011,0.000216,-0.176446,0.162085,-0.032177,0.125554,-0.084924,-0.060698,-0.002227,-0.074316,-0.052793,-0.066709,0.042238,0.114446,0.066476,0.110767,0.19737,-0.098765,-0.009039,0.000158,0.14747,0.005396,-0.001528,0.062273,-0.090236,-0.006525,-0.073331,0.134023,0.001609,-0.040304,0.007635,-0.113297,0.019794,-0.052431,-0.048422,0.027394,-0.126067,-0.01023,-0.063876,0.020539,-0.088663,0.05089,-0.118546,0.064863,0.012529,0.178327,0.000582,-0.081203,-0.175087,0.068903,-0.072364,0.008047,0.103104,0.034728,0.02797,0.06356,-0.189443,0.161306,-0.079901,-0.041082,-0.078998,0.07013,-0.046362,-0.058417,0.02831,-0.05047,-0.027724,0.132648,-0.09059,0.088034,0.008031,-0.021419,0.123243,0.154612,-0.125627,0.101939,-0.126557,-0.095903,0.230672,-0.037844,-0.079576,-0.160522,0.058686,0.030838,0.017419,0.067985,-0.001712,-0.141461,-0.117092,-0.048808,0.021011,0.008559,-0.02173,0.067111,0.102011,-0.094136,0.033051,-0.018653,-0.028783,-0.060198,0.106882,0.031976,0.013823,0.052319,0.113259,-0.110374,-0.053543,0.167425,0.023578,0.100237,-0.04996,-0.075229,0.0897,0.055233,-0.152719,-0.031237,-0.145182,17,./image\17
0.112076,0.082365,-0.118548,-0.103534,-0.145529,0.047968,-0.014435,-0.104106,-0.006396,0.014962,-0.045792,-0.002247,-0.083845,-0.202811,0.093469,0.124894,0.045537,-0.081467,0.064022,-0.083507,0.054469,0.032741,-0.120939,0.025492,0.154748,0.084055,-0.062406,0.07594,0.108731,-0.008325,-0.018573,0.014987,-0.061715,0.021944,0.224016,0.003637,-0.135064,-0.058651,0.116782,0.05936,-0.026433,0.100243,-0.196995,0.04303,-0.063353,0.006725,-0.012737,0.063453,-0.05807,-0.025218,-0.05164,0.07897,0.051973,0.038102,0.106998,0.10584,0.113531,-0.043104,0.040056,-0.045356,0.071545,-0.172195,-0.024242,0.023435,0.15275,0.092762,0.109107,-0.041908,-0.017432,-0.0928,0.01394,-0.008665,0.013365,-0.134585,0.049712,0.022476,-0.007215,0.161356,-0.035066,0.000381,-0.064433,-0.044617,-0.028718,-0.011383,0.1232,-0.25783,-0.115687,-0.180382,-0.031998,0.070539,0.077348,-0.116554,-0.125567,-0.051973,-0.000517,0.035839,-0.001973,-0.020271,-0.074576,-0.036849,0.032085,0.064181,-0.067972,0.148477,-0.033084,0.110273,-0.059215,0.101598,0.036281,-0.041455,0.008346,0.06685,0.084958,-0.041763,0.068851,0.042552,0.023226,-0.016486,0.100601,-0.006684,0.258796,-0.03783,0.043798,-0.083399,0.090969,-0.143906,-0.017983,-0.130387,17,./image\17
0.036189,0.104896,-0.092424,0.003163,-0.069515,0.074273,-0.024163,-0.138117,0.021297,0.004135,-0.069561,0.053528,-0.015908,-0.216832,0.084648,0.136576,0.061769,-0.059103,0.028198,-0.099415,-0.034541,0.022868,-0.146281,0.028295,0.097249,0.113671,-0.036392,0.129069,0.064601,-0.073906,-0.011772,0.000575,-0.084743,0.023946,0.181034,-0.03491,-0.12109,-0.043961,0.121155,0.036691,0.005741,0.041824,-0.165387,0.067374,-0.049948,0.017033,0.033612,0.031598,0.003158,-0.053498,-0.012374,0.070271,0.04105,0.048129,0.140745,0.102623,0.105649,-0.120032,0.088111,0.004857,0.05533,-0.14513,-0.034598,0.053269,0.17828,0.080647,0.080872,-0.049895,-0.007892,-0.082356,-0.022165,-0.048092,-0.006912,-0.052281,0.095254,0.086059,-0.031224,0.197177,0.005062,-0.002079,-0.026381,-0.050305,-0.048464,0.000398,0.093208,-0.228235,-0.069584,-0.135981,-0.134221,0.071717,0.067877,-0.133805,-0.090672,-0.175202,0.022347,0.024193,-0.002916,0.008349,-0.04819,-0.029034,-0.048067,0.058552,-0.146492,0.151175,-0.030079,0.135945,-0.101587,0.077584,-0.001688,-0.080231,-0.019219,0.12274,0.019378,-0.074938,0.040774,0.096278,-0.042839,-0.015726,0.082967,0.014,0.227996,-0.139374,0.100262,-0.027657,0.114714,-0.160038,0.058077,-0.078945,17,./image\17
0.017394,0.050249,-0.106947,-0.112149,-0.091284,0.106219,-0.039034,-0.085469,0.01662,0.010666,0.00365,0.12521,-0.043849,-0.261441,0.091052,0.100105,0.018074,-0.027269,0.037922,-0.008087,0.024944,0.099378,-0.161344,0.043487,0.025756,0.096348,-0.047186,0.033111,0.165496,-0.001904,0.064474,-0.034199,0.004047,-0.071091,0.140971,0.02326,-0.248765,-0.057077,0.060465,0.021747,-0.036623,0.104917,-0.12029,0.01452,-0.060124,-0.073504,0.022014,-0.017247,-0.034843,-0.00514,-0.012607,0.03263,0.100208,-0.031164,0.080138,0.031518,0.06653,-0.061261,0.009021,-0.100084,0.016302,-0.163385,-0.027434,0.070853,0.189951,0.109389,0.150591,0.021974,0.003805,-0.079146,-0.026926,-0.046106,0.039393,-0.109583,0.094443,0.053264,-0.04086,0.153495,-0.064748,0.034093,-0.093628,-0.020901,-0.118237,0.005097,0.134012,-0.164581,-0.089286,-0.039435,-0.103393,0.129299,0.144179,-0.036201,-0.07205,-0.051563,-0.020693,0.03005,-0.058802,0.032646,-0.032288,-0.092792,-0.012063,-0.015025,0.044882,0.141859,-0.000855,0.066231,-0.037648,0.131635,0.056896,-0.062048,0.04362,0.118486,0.040138,0.049357,0.115246,0.055358,-0.011732,0.026621,0.204723,0.045888,0.18079,-0.069231,0.024282,-0.002525,0.154188,-0.245239,-0.053461,-0.06259,17,./image\17
0.068254,0.041672,-0.110065,-0.100892,-0.0719,-0.031727,-0.156794,0.000879,0.040956,-0.052911,-0.113154,0.146712,0.000708,-0.090694,0.144226,0.066542,-0.003316,0.006637,0.129328,-0.020141,-0.08994,0.046264,-0.144558,0.059899,-0.00179,-0.001461,0.081494,0.088233,-0.033673,0.043007,0.010373,0.139308,0.12843,0.008819,0.039075,-0.056281,-0.113585,-0.223944,0.084413,0.029728,-0.086975,0.004486,-0.156788,-0.026958,-0.031825,-0.016812,-0.061426,-0.049742,0.007864,0.045613,0.044278,-0.106716,0.077052,0.03759,0.161416,-0.053064,-0.074708,-0.130941,-0.057711,-0.04845,-0.004631,-0.05975,0.015796,0.015323,0.151024,-0.010259,0.059151,-0.043576,0.013076,-0.038789,0.027843,-0.053677,0.11391,0.018829,0.005312,-0.022662,0.023969,0.052689,0.140248,-0.055407,0.006301,-0.061174,-0.091895,0.089648,0.203559,-0.231336,-0.034643,-0.120558,-0.077624,0.085066,0.074183,0.057289,-0.23606,-0.102392,-0.079429,0.038742,-0.021816,0.107592,-0.147593,-0.106131,-0.02978,0.044862,0.054452,-0.007754,0.010753,0.029198,-0.079556,0.033572,-0.096147,-0.081404,0.001494,0.053207,-0.072635,-0.085061,0.100899,0.081671,0.028158,0.030435,0.170383,0.063577,0.040398,-0.114881,0.080177,0.118399,0.18879,-0.198525,-0.089492,0.035161,18,./image\18
